REGION_ID,DEPARTMENT,MUNICIPALITY,TOTAL_POPULATION,URBAN_POPULATION,RURAL_POPULATION
425,SAN SALVADOR,Soyapango,241403,130169,130169
221,SAN SALVADOR,Tonacatepeque,90896,48118,41632
426,CUSCATLÁN,Candelaria,10090,5223,1935
24,CUSCATLÁN,Cojutepeque,50315,26744,21961
427,CUSCATLÁN,El Carmen,13345,6931,1120
222,CUSCATLÁN,El Rosario,4220,2218,232
428,CUSCATLÁN,Monte San Juán,10224,5339,866
128,CUSCATLÁN,Oratorio de Concepción,3578,1818,452
25,CUSCATLÁN,San Bartolomé Perulapía,8058,4158,2468
320,CUSCATLÁN,San Cristóbal,8316,4270,435
429,CUSCATLÁN,San José Guayabal,9300,4672,1466
26,CUSCATLÁN,San Pedro Perulapán,44730,23171,7878
129,CUSCATLÁN,San Rafael Cedros,17069,9062,2842
321,CUSCATLÁN,San Ramón,6292,3295,657
223,CUSCATLÁN,Santa Cruz Analquito,2585,1302,926
224,CUSCATLÁN,Santa Cruz Michapa,11790,6206,3539
27,CUSCATLÁN,Suchitoto,24786,12569,4096
130,CUSCATLÁN,Tenancingo,6782,3406,506
322,LA PAZ,Cuyultitán,5590,2889,1763
225,LA PAZ,El Rosario,16784,8760,4967
28,LA PAZ,Jerusalen,2570,1327,230
131,LA PAZ,Mercedes la Ceiba,637,312,241
29,LA PAZ,Olocuilta,29529,15422,8369
430,LA PAZ,Paraíso de Osorio,2727,1375,890
323,LA PAZ,San Antonio Masahuat,4258,2172,583
431,LA PAZ,San Emigdio,2818,1449,729
30,LA PAZ,San Francisco Chinameca,7387,3756,1352
132,LA PAZ,San Juan Nonualco,17256,9081,4109
432,LA PAZ,San Juan Talpa,7707,4067,2411
133,LA PAZ,San Juan Tepezontes,3630,1832,681
433,LA PAZ,San Luís La Herradura,20405,10413,4490
434,LA PAZ,San Luís Talpa,21675,11302,6982
226,LA PAZ,San Miguel Tepezontes,5084,2621,1338
134,LA PAZ,San Pedro Masahuat,25446,13160,6814
135,LA PAZ,San Pedro Nonualco,9252,4738,1667
31,LA PAZ,San Rafael Obrajuelo,9820,5282,2813
435,LA PAZ,Santa Maria Ostuma,5990,2994,811
436,LA PAZ,Santiago Nonualco,39887,20710,6465
227,LA PAZ,Tapalhuaca,3809,1946,384
32,LA PAZ,Zacatecoluca,65826,34483,22447
136,CABAÑAS,Cinquera,1467,718,234
33,CABAÑAS,Dolores,6347,3283,750
34,CABAÑAS,Guacotecti,5550,2958,1323
35,CABAÑAS,Ilobasco,61510,32534,12900
437,CABAÑAS,Jutiapa,6584,3457,318
228,CABAÑAS,San Isidro,7796,4027,816
229,CABAÑAS,Sensuntepeque,40332,21636,8528
36,CABAÑAS,Tejutepeque,7114,3776,1497
438,CABAÑAS,Victoria,12626,6733,712
230,SAN VICENTE,Apastepeque,18342,9446,2593
137,SAN VICENTE,Guadalupe,5486,2885,1951
37,SAN VICENTE,San Cayetano Istepeque,5103,2689,855
324,SAN VICENTE,San Esteban Catarina,5661,2932,1351
38,SAN VICENTE,San Ildefonso,7799,4075,1156
439,SAN VICENTE,San Lorenzo,6055,3185,1085
231,SAN VICENTE,San Sebastián,14411,7478,3535
440,SAN VICENTE,San Vicente,53213,27675,19216
441,SAN VICENTE,Santa Clara,5349,2697,502
39,SAN VICENTE,Santo Domingo,6445,3453,1266
232,SAN VICENTE,Tecoluca,23893,12335,5619
442,SAN VICENTE,Tepetitán,3631,1952,981
325,SAN VICENTE,Verapaz,6257,3156,1272
443,USULUTÁN,Alegría,11712,6048,838
40,USULUTÁN,Berlín,17787,9038,5107
444,USULUTÁN,California,2628,1390,870
41,USULUTÁN,Concepción Batres,12197,6461,1733
445,USULUTÁN,El Triunfo,6924,3644,1626
326,USULUTÁN,Ereguayquin,6119,3264,996
446,USULUTÁN,Estanzuelas,9015,4753,2083
42,USULUTÁN,Jiquilisco,47784,24846,10869
43,USULUTÁN,Jucuapa,18442,9519,5414
233,USULUTÁN,Jucuarán,13424,6805,612
138,USULUTÁN,Mercedes Umaña,13092,6760,1666
327,USULUTÁN,Nueva Granada,7451,3906,697
447,USULUTÁN,Ozatlán,12443,6567,2712
44,USULUTÁN,Puerto El Triunfo,16584,8579,5064
234,USULUTÁN,San Agustín,6518,3355,1653
235,USULUTÁN,San Buena Ventura,4726,2441,496
139,USULUTÁN,San Dionisio,4945,2584,682
328,USULUTÁN,San Francisco Javier,5409,2783,525
329,USULUTÁN,Santa Elena,17342,9209,2858
448,USULUTÁN,Santa Maria,10731,5827,4442
45,USULUTÁN,Santiago de Maria,18201,9690,7706
330,USULUTÁN,Tecapán,7697,4041,1907
140,USULUTÁN,Usulután,73064,39170,27859
449,SAN MIGUEL,Carolina,8240,4338,653
141,SAN MIGUEL,Chapeltique,10728,5756,1303
142,SAN MIGUEL,Chinameca,22311,11773,3404
450,SAN MIGUEL,Chirilagua,19984,10469,1653
46,SAN MIGUEL,Ciudad Barrios,24817,12499,3958
451,SAN MIGUEL,Comacarán,3199,1658,237
236,SAN MIGUEL,El Transito,18363,9779,4185
237,SAN MIGUEL,Lolotique,14916,7779,2306
143,SAN MIGUEL,Moncagua,22659,11995,3449
331,SAN MIGUEL,Nueva Guadalupe,8905,4742,2753
238,SAN MIGUEL,Nuevo Edén de San Juan,4034,2120,294
452,SAN MIGUEL,Quelepa,4049,2129,1252
47,SAN MIGUEL,San Antonio,5304,2735,235
48,SAN MIGUEL,San Gerardo,5986,3355,571
144,SAN MIGUEL,San Jorge,9115,4828,1444
453,SAN MIGUEL,San Luís de La Reina,5637,3034,594
49,SAN MIGUEL,San Miguel,218410,118738,87004
454,SAN MIGUEL,San Rafael Oriente,13290,7166,3129
332,SAN MIGUEL,Sesori,10705,5630,591
145,SAN MIGUEL,Uluazapa,3351,1805,703
333,MORAZÁN,Arambala,1821,958,142
455,MORAZÁN,Cacaopera,10943,5702,597
146,MORAZÁN,Chilanga,9700,5286,698
239,MORAZÁN,Corinto,15410,8152,1848
50,MORAZÁN,Delicias de Concepción,5076,2664,1107
240,MORAZÁN,El Divisadero,7617,4045,430
241,MORAZÁN,El Rosario,1339,683,237
334,MORAZÁN,Gualococti,3650,1842,471
456,MORAZÁN,Guatajiagua,11721,6225,2074
457,MORAZÁN,Joateca,4210,2178,434
335,MORAZÁN,Jocoaitique,2877,1474,428
242,MORAZÁN,Jocoro,10060,5394,1655
51,MORAZÁN,Lolotiquillo,4915,2655,578
52,MORAZÁN,Meanguera,7818,4084,834
336,MORAZÁN,Osicala,8909,4674,1095
53,MORAZÁN,Perquín,3158,1710,97
243,MORAZÁN,San Carlos,4172,2194,563
54,MORAZÁN,San Fernando,1708,900,123
337,MORAZÁN,San Francisco Gotera,21049,11135,8367
244,MORAZÁN,San Isidro,2804,1469,383
147,MORAZÁN,San Simón,10102,5212,818
148,MORAZÁN,Sensembra,2940,1597,435
55,MORAZÁN,Sociedad,11406,5967,606
149,MORAZÁN,Torola,3042,1503,120
458,MORAZÁN,Yamabal,4346,2283,304
338,MORAZÁN,Yoloaiquín,3613,1967,372
339,LA UNIÓN,Anamoros,14551,7800,1000
56,LA UNIÓN,Bolívar,4215,2278,302
150,LA UNIÓN,Concepción de Oriente,8179,4562,543
151,LA UNIÓN,Conchagua,37362,19341,8804
340,LA UNIÓN,El Carmen,12324,6444,945
341,LA UNIÓN,El Sauce,6546,3567,495
342,LA UNIÓN,Intipucá,7567,3929,1527
152,LA UNIÓN,La Unión,34045,17952,9654
245,LA UNIÓN,Lislique,13385,7065,372
57,LA UNIÓN,Meanguera del Golfo,2398,1274,246
459,LA UNIÓN,Nueva Esparta,9637,5185,724
246,LA UNIÓN,Pasaquina,16375,8814,1988
460,LA UNIÓN,Polorós,9701,5373,554
343,LA UNIÓN,San Alejo,17598,9478,1710
153,LA UNIÓN,San José,2971,1571,445
247,LA UNIÓN,Santa Rosa de Lima,27693,14848,7369
344,LA UNIÓN,Yayantique,6871,3709,1562
461,LA UNIÓN,Yucuaiquín,6799,3740,688
